Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),General government final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population growth (annual %),Real interest rate (%),"Unemployment, total (% of total labor force) (national estimate)",Consumer confidence
1995,130.168599500427,2.6844307317787,14.9447710913016,11.8141577687958,2.80541968853662,1.19078709090209,6.59421796734386,5.65,99.24683666666665
1996,137.665711099743,3.77277269119453,14.5283200229106,11.9404364259576,2.93120419993441,1.16341161998189,6.32428599296519,5.451,100.717295
1997,146.57982022752,4.44712793566428,14.2293238255567,12.3085665651286,2.33768993730735,1.20396029701272,6.60331688123844,5.0,111.05533333333334
1998,157.804636024479,4.48313335374613,13.9868964790694,12.3106298188105,1.55227909874364,1.16571452642589,7.14996175417604,4.511,112.56164166666667
1999,171.614220320616,4.78842504725272,14.0317985261662,13.0042291459932,2.18802719697358,1.14834004729055,6.48725394907382,4.219,113.86174999999999
2000,162.62030549023,4.07758575682804,14.0239517400802,14.4102184542572,3.37685727149929,1.11276899679534,6.81386177218246,3.992,115.74464166666667
2001,170.849422214528,0.955538348341605,14.5356379493206,13.2637338366067,2.82617111885407,0.989741382223669,4.56709046371912,4.731,96.01901166666666
2002,162.404270843241,1.70044732643726,15.0590355024837,13.1549925956457,1.58603162650601,0.927797485710314,3.07320805338916,5.783,96.386625
2003,177.400242504992,2.79560596320081,15.2436331781727,13.5916543236323,2.27009497336115,0.859481712840946,2.10671171585721,5.989,94.27956416666666
2004,184.805546423271,3.84777169556921,15.158309850606,14.8193121829029,2.67723669309172,0.925483968943482,1.60763317917852,5.529,102.42984416666667
2005,188.633042097764,3.48354993555606,15.047143394,15.65649830011,3.3927468454955,0.921713167161207,2.96083428030713,5.084,95.27481333333333
2006,198.283846111171,2.78453963650701,15.0044511883738,16.3338916290247,3.22594410070404,0.964253917136075,4.72785135317774,4.623,93.93885
2007,206.351352932702,2.00385829784946,15.1892879283282,16.5482275199969,2.85267248150138,0.951055242772428,5.19990178361212,4.622,92.08284583333334
2008,185.125644506216,0.113587249881704,15.9340733958399,17.4419484298585,3.839100296651,0.945865287282592,3.10106296496386,5.784,68.59141
2009,187.479989975829,-2.57650022958367,16.8076950275681,13.8273105496213,-0.355546266299747,0.876651298802912,2.61706389356322,9.254,71.29023583333334
2010,181.920745780206,2.69519257744442,16.6858457892174,15.8785344260197,1.6400434423899,0.846129865832117,2.01031249832462,9.633,77.29758666666667
2011,174.474602487695,1.56440685763506,16.098427999507,17.2790190876841,3.156841568622,0.79239433316435,1.16287972647355,8.949,72.46480833333334
2012,175.443819509046,2.28911338669843,15.4758416244692,17.0377859689502,2.06933726526067,0.79838290137163,1.362424650544,8.069,82.35452416666666
2013,184.572858143723,2.11783009790057,15.0253298264668,16.4242927670279,1.46483265562717,0.756560083436754,1.7482101512619,7.375,85.22370833333333
2014,185.399004308009,2.52381981363968,14.5992974323344,16.4520404415866,1.62222297740817,0.796023797809134,1.58866664005878,6.168,90.51375916666666
2015,184.529830375552,2.94555045484053,14.3028948337723,15.351745665684,0.118627135552451,0.797904713382564,2.4751634842667,5.28,100.00000833333333
2016,187.421407342664,1.81945147788167,14.1928765356073,14.6499800035794,1.26158320570536,0.785625485688815,2.63773113762977,4.869,98.8164625
2017,195.43392979223,2.45762229852507,13.9429433442707,15.0512827697199,2.13011000365961,0.692906252591617,2.37161907294657,4.355,104.11548333333333
2018,184.15464675742,2.96650506901305,13.9274534549159,15.2493900563462,2.44258329692817,0.586433075122573,2.46243186978415,3.896,105.83700833333334
2019,196.183464613648,2.58382533412825,14.1009184202812,14.5768882704583,1.81221007526021,0.515108555014533,3.71968036171318,3.669,103.27267583333332
2020,221.379712487617,-2.16302914036166,15.0912418134706,13.1874574667002,1.23358439630629,0.408427566758519,2.84614797883626,8.055,87.73424083333333
2021,223.775006515283,6.05505293244555,14.4381701420122,14.6491408906374,4.69785886363742,0.157317408951545,-1.08716753956254,5.349,83.51116333333333
